x,evmSampleDeltaMs,logDeltaMs,DATA0_uH,DATA1_uH,DATA2_uH,DATA3_uH,DATA0,DATA1,DATA2,DATA3,DATA0_MHz,DATA1_MHz,DATA2_MHz,DATA3_MHz,
28950,270605.75209999084,270605.77029907703,2.6264730258226523,8.513266994377306,Infinity,Infinity,36279106,20150922,0,0,5.406008064746857,3.00272136926651,0,0,
28951,13.021000981330872,54.039401054382324,2.626468102881202,8.513266994377306,Infinity,Infinity,36279140,20150922,0,0,5.406013131141663,3.00272136926651,0,0,
28952,18.32119905948639,52.26249897480011,2.626468102881202,8.513266994377306,Infinity,Infinity,36279140,20150922,0,0,5.406013131141663,3.00272136926651,0,0,
28953,20.7218998670578,62.09880089759827,2.626468102881202,8.513266994377306,Infinity,Infinity,36279140,20150922,0,0,5.406013131141663,3.00272136926651,0,0,
28954,20.806699991226196,62.20520007610321,2.626470564350196,8.513266994377306,Infinity,Infinity,36279123,20150922,0,0,5.40601059794426,3.00272136926651,0,0,
28955,20.88039994239807,62.264999985694885,2.6264654966236844,8.513266994377306,Infinity,Infinity,36279158,20150922,0,0,5.4060158133506775,3.00272136926651,0,0,
28956,20.714900970458984,61.9452999830246,2.6264740393711388,8.513274598937958,Infinity,Infinity,36279099,20150913,0,0,5.406007021665573,3.0027200281620026,0,0,
28957,20.667500019073486,62.097700119018555,2.626468102881202,8.513274598937958,Infinity,Infinity,36279140,20150913,0,0,5.406013131141663,3.0027200281620026,0,0,
28958,20.673499941825867,62.30109989643097,2.6264715778972585,8.513283048461744,Infinity,Infinity,36279116,20150903,0,0,5.406009554862976,3.002718538045883,0,0,
28959,20.699599981307983,62.05440008640289,2.6264644830801416,8.513274598937958,Infinity,Infinity,36279165,20150913,0,0,5.406016856431961,3.0027200281620026,0,0,
28960,20.781499981880188,62.24519991874695,2.6264720122747516,8.513274598937958,Infinity,Infinity,36279113,20150913,0,0,5.40600910782814,3.0027200281620026,0,0,
28961,20.54560101032257,62.05680000782013,2.626475487298566,8.513274598937958,Infinity,Infinity,36279089,20150913,0,0,5.406005531549454,3.0027200281620026,0,0,
28962,20.71180009841919,62.200000047683716,2.6264644830801416,8.513274598937958,Infinity,Infinity,36279165,20150913,0,0,5.406016856431961,3.0027200281620026,0,0,
28963,20.63069987297058,62.143799901008606,2.626475487298566,8.513266994377306,Infinity,Infinity,36279089,20150922,0,0,5.406005531549454,3.00272136926651,0,0,
28964,20.778600096702576,62.203100085258484,2.6264740393711388,8.513274598937958,Infinity,Infinity,36279099,20150913,0,0,5.406007021665573,3.0027200281620026,0,0,
28965,20.730599999427795,62.14069902896881,2.6264780935709546,8.513274598937958,Infinity,Infinity,36279071,20150913,0,0,5.406002849340439,3.0027200281620026,0,0,
28966,20.593000054359436,62.14150094985962,2.626470564350196,8.513266994377306,Infinity,Infinity,36279123,20150922,0,0,5.40601059794426,3.00272136926651,0,0,
28967,20.842099905014038,62.36869990825653,2.626475487298566,8.513266994377306,Infinity,Infinity,36279089,20150922,0,0,5.406005531549454,3.00272136926651,0,0,
28968,20.661098957061768,61.95159900188446,2.626470564350196,8.513274598937958,Infinity,Infinity,36279123,20150913,0,0,5.40601059794426,3.0027200281620026,0,0,
28969,20.91729998588562,62.40330111980438,2.626468102881202,8.513274598937958,Infinity,Infinity,36279140,20150913,0,0,5.406013131141663,3.0027200281620026,0,0,
28970,20.69499897956848,61.955798983573914,2.626485622824087,8.513266994377306,Infinity,Infinity,36279019,20150922,0,0,5.405995100736618,3.00272136926651,0,0,
28971,20.78849995136261,62.292600989341736,2.6264780935709546,8.513266994377306,Infinity,Infinity,36279071,20150922,0,0,5.406002849340439,3.00272136926651,0,0,
28972,20.452799916267395,62.03569996356964,2.626468102881202,8.513274598937958,Infinity,Infinity,36279140,20150913,0,0,5.406013131141663,3.0027200281620026,0,0,
28973,20.758000016212463,62.184499979019165,2.626466510167814,8.513266994377306,Infinity,Infinity,36279151,20150922,0,0,5.406014770269394,3.00272136926651,0,0,
28974,20.708399057388306,62.093199133872986,2.626485622824087,8.513274598937958,Infinity,Infinity,36279019,20150913,0,0,5.405995100736618,3.0027200281620026,0,0,
28975,20.674099922180176,62.232000946998596,2.6264791071223748,8.513283048461744,Infinity,Infinity,36279064,20150903,0,0,5.406001806259155,3.002718538045883,0,0,
28976,20.65000009536743,62.016900062561035,2.6264805550539934,8.513274598937958,Infinity,Infinity,36279054,20150913,0,0,5.406000316143036,3.0027200281620026,0,0,
28977,20.554500937461853,62.23569989204407,2.6264730258226523,8.513266994377306,Infinity,Infinity,36279106,20150922,0,0,5.406008064746857,3.00272136926651,0,0,
28978,20.693999886512756,62.1768000125885,2.6264830165404938,8.513274598937958,Infinity,Infinity,36279037,20150913,0,0,5.405997782945633,3.0027200281620026,0,0,
28979,20.705699920654297,62.14579999446869,2.6264830165404938,8.513266994377306,Infinity,Infinity,36279037,20150922,0,0,5.405997782945633,3.00272136926651,0,0,
28980,20.704599022865295,62.252198934555054,2.626475487298566,8.513266994377306,Infinity,Infinity,36279089,20150922,0,0,5.406005531549454,3.00272136926651,0,0,
28981,20.6593998670578,62.083901047706604,2.6264880843177116,8.513274598937958,Infinity,Infinity,36279002,20150913,0,0,5.405992567539215,3.0027200281620026,0,0,
28982,20.760799050331116,62.321699023246765,2.6264780935709546,8.513274598937958,Infinity,Infinity,36279071,20150913,0,0,5.406002849340439,3.0027200281620026,0,0,
28983,20.868600010871887,62.26500105857849,2.6264805550539934,8.513274598937958,Infinity,Infinity,36279054,20150913,0,0,5.406000316143036,3.0027200281620026,0,0,
28984,20.824000000953674,62.462000012397766,2.6264805550539934,8.513274598937958,Infinity,Infinity,36279054,20150913,0,0,5.406000316143036,3.0027200281620026,0,0,
28985,20.72209894657135,61.77629888057709,2.626485622824087,8.513274598937958,Infinity,Infinity,36279019,20150913,0,0,5.405995100736618,3.0027200281620026,0,0,
28986,20.89289903640747,62.33180010318756,2.626475487298566,8.513274598937958,Infinity,Infinity,36279089,20150913,0,0,5.406005531549454,3.0027200281620026,0,0,
28987,20.727499961853027,62.04910087585449,2.6264866363798665,8.513274598937958,Infinity,Infinity,36279012,20150913,0,0,5.4059940576553345,3.0027200281620026,0,0,
28988,20.783700108528137,62.196800112724304,2.626485622824087,8.513266994377306,Infinity,Infinity,36279019,20150922,0,0,5.405995100736618,3.00272136926651,0,0,
28989,20.708200931549072,62.11679995059967,2.6264815686068386,8.513274598937958,Infinity,Infinity,36279047,20150913,0,0,5.405999273061752,3.0027200281620026,0,0,
28990,20.858999967575073,62.3779000043869,2.6264830165404938,8.513274598937958,Infinity,Infinity,36279037,20150913,0,0,5.405997782945633,3.0027200281620026,0,0,
28991,20.721500039100647,62.050700068473816,2.6264730258226523,8.513274598937958,Infinity,Infinity,36279106,20150913,0,0,5.406008064746857,3.0027200281620026,0,0,
28992,20.6353999376297,61.96789991855621,2.6264866363798665,8.513274598937958,Infinity,Infinity,36279012,20150913,0,0,5.4059940576553345,3.0027200281620026,0,0,
28993,20.592100024223328,62.25530004501343,2.626475487298566,8.513274598937958,Infinity,Infinity,36279089,20150913,0,0,5.406005531549454,3.0027200281620026,0,0,
28994,20.601900100708008,69.91990005970001,2.626485622824087,8.513266994377306,Infinity,Infinity,36279019,20150922,0,0,5.405995100736618,3.00272136926651,0,0,
28995,20.74809992313385,62.257099866867065,2.62646955080372,8.513274598937958,Infinity,Infinity,36279130,20150913,0,0,5.406011641025543,3.0027200281620026,0,0,
28996,20.751099944114685,62.07169997692108,2.626485622824087,8.513274598937958,Infinity,Infinity,36279019,20150913,0,0,5.405995100736618,3.0027200281620026,0,0,
28997,20.35650086402893,62.09870004653931,2.626485622824087,8.513274598937958,Infinity,Infinity,36279019,20150913,0,0,5.405995100736618,3.0027200281620026,0,0,
28998,20.856900095939636,62.287100076675415,2.6264746185419656,8.513266994377306,Infinity,Infinity,36279095,20150922,0,0,5.406006425619125,3.00272136926651,0,0,
28999,20.56679904460907,62.01749897003174,2.6264805550539934,8.513274598937958,Infinity,Infinity,36279054,20150913,0,0,5.406000316143036,3.0027200281620026,0,0,
