x,evmSampleDeltaMs,logDeltaMs,DATA0_uH,DATA1_uH,DATA2_uH,DATA3_uH,DATA0,DATA1,DATA2,DATA3,DATA0_MHz,DATA1_MHz,DATA2_MHz,DATA3_MHz,
30013,20.89620089530945,62.34200096130371,2.6264013549529275,8.513266994377306,Infinity,Infinity,36279601,20150922,0,0,5.406081825494766,3.00272136926651,0,0,
30014,20.589399933815002,61.936100006103516,2.626427416747941,8.513274598937958,Infinity,Infinity,36279421,20150913,0,0,5.406055003404617,3.0027200281620026,0,0,
30015,20.63950002193451,62.26240003108978,2.626416412831619,8.513274598937958,Infinity,Infinity,36279497,20150913,0,0,5.406066328287125,3.0027200281620026,0,0,
30016,20.65249991416931,62.18299996852875,2.626417426347336,8.513266994377306,Infinity,Infinity,36279490,20150922,0,0,5.406065285205841,3.00272136926651,0,0,
30017,20.725200057029724,62.1117000579834,2.626411490049339,8.513266994377306,Infinity,Infinity,36279531,20150922,0,0,5.4060713946819305,3.00272136926651,0,0,
30018,15.512398958206177,56.93239903450012,2.626427416747941,8.513266994377306,Infinity,Infinity,36279421,20150922,0,0,5.406055003404617,3.00272136926651,0,0,
30019,20.790599942207336,59.68529999256134,2.626411490049339,8.513274598937958,Infinity,Infinity,36279531,20150913,0,0,5.4060713946819305,3.0027200281620026,0,0,
30020,20.79390001296997,62.32210099697113,2.6264198877450924,8.513274598937958,Infinity,Infinity,36279473,20150913,0,0,5.406062752008438,3.0027200281620026,0,0,
30021,21.033198952674866,62.326398968696594,2.6264235074539592,8.513283048461744,Infinity,Infinity,36279448,20150903,0,0,5.40605902671814,3.002718538045883,0,0,
30022,20.505099058151245,61.93560004234314,2.626416412831619,8.513283048461744,Infinity,Infinity,36279497,20150903,0,0,5.406066328287125,3.002718538045883,0,0,
30023,20.54400098323822,62.28330099582672,2.6264249553396017,8.513283048461744,Infinity,Infinity,36279438,20150903,0,0,5.40605753660202,3.002718538045883,0,0,
30024,20.718799948692322,62.101199984550476,2.6264184398636403,8.513274598937958,Infinity,Infinity,36279483,20150913,0,0,5.4060642421245575,3.0027200281620026,0,0,
30025,20.711799144744873,62.136399030685425,2.6264249553396017,8.513283048461744,Infinity,Infinity,36279438,20150903,0,0,5.40605753660202,3.002718538045883,0,0,
30026,20.501999974250793,62.09790098667145,2.626422493934722,8.513266994377306,Infinity,Infinity,36279455,20150922,0,0,5.406060069799423,3.00272136926651,0,0,
30027,20.64280092716217,62.24899995326996,2.626417426347336,8.513266994377306,Infinity,Infinity,36279490,20150922,0,0,5.406065285205841,3.00272136926651,0,0,
30028,20.712900042533875,62.2092000246048,2.6264300229487785,8.513274598937958,Infinity,Infinity,36279403,20150913,0,0,5.406052321195602,3.0027200281620026,0,0,
30029,20.273699045181274,62.388298988342285,2.626413951438749,8.513274598937958,Infinity,Infinity,36279514,20150913,0,0,5.406068861484528,3.0027200281620026,0,0,
30030,20.836300015449524,62.09060096740723,2.6264235074539592,8.513266994377306,Infinity,Infinity,36279448,20150922,0,0,5.40605902671814,3.00272136926651,0,0,
30031,20.501799941062927,62.58519995212555,2.626413951438749,8.513274598937958,Infinity,Infinity,36279514,20150913,0,0,5.406068861484528,3.0027200281620026,0,0,
30032,21.452901005744934,62.384000062942505,2.6264300229487785,8.513274598937958,Infinity,Infinity,36279403,20150913,0,0,5.406052321195602,3.0027200281620026,0,0,
30033,20.463498950004578,61.581199049949646,2.6264198877450924,8.513274598937958,Infinity,Infinity,36279473,20150913,0,0,5.406062752008438,3.0027200281620026,0,0,
30034,20.658999919891357,62.03800094127655,2.6264125035622063,8.513274598937958,Infinity,Infinity,36279524,20150913,0,0,5.406070351600647,3.0027200281620026,0,0,
30035,20.754798889160156,62.28779900074005,2.626422493934722,8.513266994377306,Infinity,Infinity,36279455,20150922,0,0,5.406060069799423,3.00272136926651,0,0,
30036,20.73009991645813,62.16740095615387,2.6264159784679197,8.513266994377306,Infinity,Infinity,36279500,20150922,0,0,5.4060667753219604,3.00272136926651,0,0,
30037,20.72760009765625,62.21370017528534,2.6264235074539592,8.513274598937958,Infinity,Infinity,36279448,20150913,0,0,5.40605902671814,3.0027200281620026,0,0,
30038,20.6460999250412,62.069299817085266,2.6264249553396017,8.513274598937958,Infinity,Infinity,36279438,20150913,0,0,5.40605753660202,3.0027200281620026,0,0,
30039,20.80110001564026,62.34860002994537,2.6264249553396017,8.513274598937958,Infinity,Infinity,36279438,20150913,0,0,5.40605753660202,3.0027200281620026,0,0,
30040,20.7953999042511,62.12250006198883,2.6264039611149728,8.51325854487742,Infinity,Infinity,36279583,20150932,0,0,5.406079143285751,3.0027228593826294,0,0,
30041,20.891700983047485,62.28369998931885,2.626422493934722,8.513266994377306,Infinity,Infinity,36279455,20150922,0,0,5.406060069799423,3.00272136926651,0,0,
30042,20.64479911327362,61.86599910259247,2.6264149649530406,8.513274598937958,Infinity,Infinity,36279507,20150913,0,0,5.406067818403244,3.0027200281620026,0,0,
30043,20.82780110836029,62.32110095024109,2.6264249553396017,8.513266994377306,Infinity,Infinity,36279438,20150922,0,0,5.40605753660202,3.00272136926651,0,0,
30044,20.651400089263916,62.130499958992004,2.626428430270028,8.513274598937958,Infinity,Infinity,36279414,20150913,0,0,5.406053960323334,3.0027200281620026,0,0,
30045,20.90610098838806,62.36519992351532,2.6264064224938,8.513274598937958,Infinity,Infinity,36279566,20150913,0,0,5.406076610088348,3.0027200281620026,0,0,
